Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Egypt, Arab Rep.",EGY,19.4,..,..,..,..,20.5,..,21,..,..,21.6,..,..,..,..,22.8,..,..,..,..,24.2,24.5,24.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,El Salvador,SLV,15.5,..,..,..,..,13.6,..,12.9,..,..,11.9,..,..,..,..,10.5,..,..,..,..,9.3,9.1,8.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Estonia,EST,47.6,..,..,..,..,42.1,..,40.3,..,..,37.3,..,..,..,..,33.3,..,..,..,..,29.6,28.9,28.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Eswatini,SWZ,12.6,..,..,..,..,11.5,..,11.2,..,..,10.8,..,..,..,..,10.2,..,..,..,..,9.7,9.6,9.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Ethiopia,ETH,6.3,..,..,..,..,6,..,5.9,..,..,5.8,..,..,..,..,5.5,..,..,..,..,5.3,5.3,5.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Fiji,FJI,33.2,..,..,..,..,31.8,..,31.2,..,..,30.4,..,..,..,..,29.2,..,..,..,..,28,27.9,27.6,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Finland,FIN,38.7,..,..,..,..,34.1,..,32.5,..,..,30.2,..,..,..,..,26.5,..,..,..,..,23.4,22.8,22.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,France,FRA,34.7,..,..,..,..,34.5,..,34.5,..,..,34.4,..,..,..,..,34.5,..,..,..,..,34.5,34.5,34.6,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Gambia, The",GMB,23.6,..,..,..,..,19.5,..,18,..,..,16,..,..,..,..,13.4,..,..,..,..,11.2,10.8,10.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Georgia,GEO,33.3,..,..,..,..,32.8,..,32.7,..,..,32.4,..,..,..,..,32,..,..,..,..,31.9,31.8,31.8,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Germany,DEU,36.2,..,..,..,..,32.1,..,30.6,..,..,28.5,..,..,..,..,25.1,..,..,..,..,22.4,21.7,21.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Ghana,GHA,7.1,..,..,..,..,6,..,5.6,..,..,5.1,..,..,..,..,4.3,..,..,..,..,3.6,3.5,3.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Greece,GRC,55.8,..,..,..,..,49.1,..,46.7,..,..,43.2,..,..,..,..,38.4,..,..,..,..,34.2,33.3,32.8,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Guatemala,GTM,14.1,..,..,..,..,13.4,..,13.2,..,..,13,..,..,..,..,12.5,..,..,..,..,12.1,12,11.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Guinea-Bissau,GNB,21,..,..,..,..,16.8,..,15.3,..,..,13.4,..,..,..,..,10.9,..,..,..,..,8.9,8.6,8.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Guyana,GUY,31.3,..,..,..,..,24.6,..,22.4,..,..,19.4,..,..,..,..,15.3,..,..,..,..,12.2,11.7,11.1,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Haiti,HTI,11.4,..,..,..,..,10.4,..,10.1,..,..,9.6,..,..,..,..,8.9,..,..,..,..,8.3,8.2,8.1,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Honduras,HND,17.2,..,..,..,..,15.8,..,15.3,..,..,14.6,..,..,..,..,13.5,..,..,..,..,12.7,12.5,12.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Hungary,HUN,37.5,..,..,..,..,36.1,..,35.6,..,..,34.9,..,..,..,..,33.8,..,..,..,..,32.6,32.4,32.2,..,..
